Generations#,Fitness
532,17142442
533,17135368
534,17122345
535,17110833
536,17097640
537,17082583
538,17081613
539,17075739
540,17072163
541,17063545
542,17045010
543,17025672
544,17025672
545,17015764
546,16998029
547,16984338
548,16973608
549,16967100
550,16961329
551,16946064
552,16938054
553,16926539
554,16915872
555,16899250
556,16879513
557,16879513
558,16879135
559,16869846
560,16859451
561,16855421
562,16844418
563,16833113
564,16824113
565,16816587
566,16809549
567,16802519
568,16785419
569,16769939
570,16766943
571,16749278
572,16743137
573,16733072
574,16722521
575,16711441
576,16700289
577,16696359
578,16687338
579,16674056
580,16663682
581,16653507
582,16626680
583,16619660
584,16616131
585,16605013
586,16593000
587,16589861
588,16576097
589,16565534
590,16551896
591,16536686
592,16518449
593,16503296
594,16493754
595,16493209
596,16479615
597,16474710
598,16464302
599,16452522
600,16439928
601,16434193
602,16424270
603,16406651
604,16400236
605,16391817
606,16383715
607,16372416
608,16361395
609,16351559
610,16340643
611,16334454
612,16328311
613,16310244
614,16285128
615,16280345
616,16271059
617,16254313
618,16240323
619,16222305
620,16206789
621,16188947
622,16181317
623,16172287
624,16153017
625,16138879
626,16128594
627,16118275
628,16112785
629,16092881
630,16086715
631,16076171
632,16066022
633,16056709
634,16048434
635,16044976
636,16034251
637,16032101
638,16026663
639,16022065
640,16016865
641,16009138
642,16000967
643,15988852
644,15980951
645,15974817
646,15964525
647,15948418
648,15939701
649,15932425
650,15925995
651,15921229
652,15908138
653,15896288
654,15881639
655,15868261
656,15851715
657,15841564
658,15830958
659,15827158
660,15816167
661,15800544
662,15793061
663,15783121
664,15772801
665,15762183
666,15757345
667,15750621
668,15737561
669,15725870
670,15711642
671,15709958
672,15697278
673,15697278
674,15679193
675,15674243
676,15666313
677,15653012
678,15644542
679,15631056
680,15618138
681,15606554
682,15577221
683,15566741
684,15560353
685,15554154
686,15537027
687,15527627
688,15517607
689,15511748
690,15505151
691,15500788
692,15493505
693,15484595
694,15475883
695,15469128
696,15459885
697,15449339
698,15437531
699,15429211
700,15419736
701,15411183
702,15395613
703,15390392
704,15386173
705,15372764
706,15366869
707,15348677
708,15346074
709,15342819
710,15332594
711,15324605
712,15317222
713,15307363
714,15297914
715,15284007
716,15272451
717,15256461
718,15252985
719,15245003
720,15232456
721,15227318
722,15221099
723,15214410
724,15209493
725,15199831
726,15196199
727,15181202
728,15171229
729,15155044
730,15140264
731,15121236
732,15112208
733,15108935
734,15103432
735,15088631
736,15086857
737,15074103
738,15065108
739,15057977
740,15046591
741,15044607
742,15040341
743,15032047
744,15022075
745,15012750
746,15001773
747,14995258
748,14991108
749,14981802
750,14977045
751,14966797
752,14958043
753,14946251
754,14935097
755,14925186
756,14916441
757,14910410
758,14899170
759,14894879
760,14888008
761,14879129
762,14870782
763,14862718
764,14846339
765,14839310
766,14832614
767,14827725
768,14820273
769,14803168
770,14800883
771,14793317
772,14778940
773,14766836
774,14757653
775,14749795
776,14736841
777,14726448
778,14721217
779,14710906
780,14708995
781,14702835
782,14693057
783,14686031
784,14677474
785,14675104
786,14667319
787,14663898
788,14660326
789,14657570
790,14651864
791,14646491
792,14640438
793,14636469
794,14621318
795,14615752
796,14615752
797,14605855
798,14603336
799,14586813
800,14582718
801,14580535
802,14572500
803,14565911
804,14556254
805,14546274
806,14542632
807,14534229
808,14529034
809,14518272
810,14506200
811,14493743
812,14490095
813,14487458
814,14482006
815,14471985
816,14461314
817,14452211
818,14436918
819,14434691
820,14425478
821,14414685
822,14405587
823,14395248
824,14387566
825,14384040
826,14371219
827,14367802
828,14365093
829,14361303
830,14354399
831,14345756
832,14339847
833,14325245
834,14316784
835,14313087
836,14307197
837,14296583
838,14292598
839,14283625
840,14275061
841,14267075
842,14255943
843,14246306
844,14242849
845,14227937
846,14225709
847,14210142
848,14209396
849,14202718
850,14194116
851,14182024
852,14178342
853,14165821
854,14162545
855,14157744
856,14153111
857,14141553
858,14135847
859,14123478
860,14115159
861,14106687
862,14096683
863,14095598
864,14089112
865,14079969
866,14070100
867,14062734
868,14046649
869,14031183
870,14024746
871,14017006
872,14013076
873,14003543
874,13994377
875,13988286
876,13981263
877,13974087
878,13972747
879,13969599
880,13964559
881,13959824
882,13952420
883,13940466
884,13935357
885,13933123
886,13917474
887,13909258
888,13904772
889,13891140
890,13891140
891,13887896
892,13878319
893,13872758
894,13867320
895,13858402
896,13851237
897,13842680
898,13832124
899,13813891
900,13807871
901,13799954
902,13794433
903,13783526
904,13776778
905,13772676
906,13757185
907,13757185
908,13757185
909,13757185
910,13756216
911,13750594
912,13746527
913,13742182
914,13734155
915,13730770
916,13725461
917,13714349
918,13699883
919,13686121
920,13675343
921,13675099
922,13669775
923,13664282
924,13661401
925,13651669
926,13646565
927,13629169
928,13628498
929,13616473
930,13609894
931,13600932
932,13596021
933,13587570
934,13578729
935,13571926
936,13566717
937,13560233
938,13555033
939,13546061
940,13538594
941,13528128
942,13524390
943,13519164
944,13516612
945,13512859
946,13508377
947,13500546
948,13499039
949,13491981
950,13491981
951,13488987
952,13483519
953,13476161
954,13474216
955,13461879
956,13454239
957,13450894
958,13441140
959,13431828
960,13428485
961,13422817
962,13421095
963,13410215
964,13409228
965,13404353
966,13402955
967,13398855
968,13393118
969,13386213
970,13374692
971,13370706
972,13361517
973,13352355
974,13340512
975,13338335
976,13328890
977,13323303
978,13319545
979,13313880
980,13307837
981,13300981
982,13296855
983,13291107
984,13275452
985,13271938
986,13263328
987,13254189
988,13250118
989,13239262
990,13235236
991,13234890
992,13227836
993,13223128
994,13209801
995,13200135
996,13188705
997,13177565
998,13172527
999,13164635
1000,13154886
